ProductID,Tier,TierLabel
UWU-839-ZN0,1,Mid Performer / Stable
PQX-020-XP8,1,Mid Performer / Stable
PQW-462-MP0,1,Mid Performer / Stable
PQV-764-JF0,1,Mid Performer / Stable
IOO-948-CC8,1,Mid Performer / Stable
IOP-080-TG4,1,Mid Performer / Stable
IOP-240-WY5,1,Mid Performer / Stable
UWY-091-AU0,1,Mid Performer / Stable
EGK-415-UB6,1,Mid Performer / Stable
PQT-034-IH4,1,Mid Performer / Stable
EGF-911-FC8,1,Mid Performer / Stable
PQN-576-WB9,1,Mid Performer / Stable
EGD-259-IL1,1,Mid Performer / Stable
UXG-678-OE2,1,Mid Performer / Stable
UWN-696-EI9,1,Mid Performer / Stable
UXI-344-OT1,1,Mid Performer / Stable
EGU-092-OS4,1,Mid Performer / Stable
UWK-654-NU1,1,Mid Performer / Stable
UVK-256-KL3,1,Mid Performer / Stable
INU-060-AS0,1,Mid Performer / Stable
EHJ-813-WP5,1,Mid Performer / Stable
PRR-536-BC6,1,Mid Performer / Stable
PRQ-942-HS9,1,Mid Performer / Stable
EHI-052-XB8,1,Mid Performer / Stable
UVM-298-DY3,1,Mid Performer / Stable
UVM-711-DX1,1,Mid Performer / Stable
PRM-001-IR1,1,Mid Performer / Stable
UVQ-093-LP5,1,Mid Performer / Stable
IOB-515-GP2,1,Mid Performer / Stable
UVR-288-MH7,1,Mid Performer / Stable
UVU-091-VQ1,1,Mid Performer / Stable
UVU-499-PW8,1,Mid Performer / Stable
UVV-570-CE2,1,Mid Performer / Stable
PRF-902-OL3,1,Mid Performer / Stable
UVX-892-RR1,1,Mid Performer / Stable
UVZ-415-HI7,1,Mid Performer / Stable
UWC-247-UQ6,1,Mid Performer / Stable
UWC-331-GL7,1,Mid Performer / Stable
UWG-475-MZ0,1,Mid Performer / Stable
UWM-202-ZP1,1,Mid Performer / Stable
PQG-820-JZ4,1,Mid Performer / Stable
EFV-063-TB3,1,Mid Performer / Stable
EFT-018-CR5,1,Mid Performer / Stable
EEN-613-HZ9,1,Mid Performer / Stable
UYZ-846-JU6,1,Mid Performer / Stable
IQG-139-SR3,1,Mid Performer / Stable
POY-731-AD8,1,Mid Performer / Stable
UZB-424-SW3,1,Mid Performer / Stable
EEL-775-VP5,1,Mid Performer / Stable
UZB-981-BW1,1,Mid Performer / Stable
POW-418-PZ0,1,Mid Performer / Stable
POU-996-ZX6,1,Mid Performer / Stable
UZE-014-DA3,1,Mid Performer / Stable
IQK-725-GO7,1,Mid Performer / Stable
UZG-878-KS1,1,Mid Performer / Stable
UZI-281-DZ2,1,Mid Performer / Stable
EEE-473-VW0,1,Mid Performer / Stable
EEE-400-PL4,1,Mid Performer / Stable
POR-094-UF9,1,Mid Performer / Stable
UZK-480-XE4,1,Mid Performer / Stable
IQN-953-OE2,1,Mid Performer / Stable
PON-436-AE2,1,Mid Performer / Stable
EDZ-470-NU1,1,Mid Performer / Stable
POM-636-JE7,1,Mid Performer / Stable
IQE-655-AY0,1,Mid Performer / Stable
PPE-054-DI8,1,Mid Performer / Stable
IPZ-512-DR9,1,Mid Performer / Stable
PPI-173-OJ3,1,Mid Performer / Stable
UXP-634-RW3,1,Mid Performer / Stable
UXQ-306-HW6,1,Mid Performer / Stable
UXV-737-FE9,1,Mid Performer / Stable
PPV-090-FD4,1,Mid Performer / Stable
PPU-695-LZ6,1,Mid Performer / Stable
UXY-157-WY4,1,Mid Performer / Stable
UXY-950-ZJ0,1,Mid Performer / Stable
EFI-972-DF3,1,Mid Performer / Stable
UYC-639-BX6,1,Mid Performer / Stable
UYD-013-ND4,1,Mid Performer / Stable
PRR-975-GD0,1,Mid Performer / Stable
UYF-610-XU2,1,Mid Performer / Stable
EFG-538-JW6,1,Mid Performer / Stable
UYH-132-GV7,1,Mid Performer / Stable
EFF-506-BX7,1,Mid Performer / Stable
EFC-545-LH7,1,Mid Performer / Stable
UYO-069-EE4,1,Mid Performer / Stable
UYO-292-IL0,1,Mid Performer / Stable
UYQ-149-ET5,1,Mid Performer / Stable
EEZ-056-DT8,1,Mid Performer / Stable
EEY-572-JY9,1,Mid Performer / Stable
UYR-768-XY2,1,Mid Performer / Stable
EFH-032-ZU2,1,Mid Performer / Stable
EDY-947-CC9,1,Mid Performer / Stable
EHK-540-HN2,1,Mid Performer / Stable
PRS-317-KP8,1,Mid Performer / Stable
ILU-382-TE7,1,Mid Performer / Stable
USQ-993-GF9,1,Mid Performer / Stable
ILW-858-JT6,1,Mid Performer / Stable
PTI-231-MQ3,1,Mid Performer / Stable
PTH-819-DV2,1,Mid Performer / Stable
PTH-367-OQ3,1,Mid Performer / Stable
USW-094-VK9,1,Mid Performer / Stable
EJP-778-ZA1,1,Mid Performer / Stable
IME-174-QQ9,1,Mid Performer / Stable
PTD-677-KT7,1,Mid Performer / Stable
